	gene
5269	gap-3
2125	tyms-1
4060	F19G12.8
4062	F53E10.5
4064	K07A1.20
4066	K08E5.6
5905	F19B2.6
2999	gpn-1
4068	T05C3.2
4690	F25E5.4
5287	srbc-27
5907	Y108F1.5
1767	sor-1
2126	nhr-227
2127	Y54G11A.4
4696	gck-4
4697	nape-1
5301	snf-3
5917	famp-1
433	rbm-3.2
732	phf-15
1082	mdt-22
1434	slc-25A18.2
2128	Y56A3A.16
3512	Y116A8C.43
3513	srv-28
3514	B0524.3
3515	ZK721.4
3009	str-229
3010	F13C5.1
3518	Y7A5A.8
3520	T06E4.21
3521	C13A2.9
3012	Y116F11B.9
3013	W02G9.3
2562	dhhc-7
2563	T05C7.8
1435	C14C11.2
1770	Y76A2B.4
2564	tpk-1
3020	F28F8.7
3535	str-187
3022	C08F11.3
3537	M04B2.7
3023	C26D10.3
3024	C26E6.1
3542	B0205.5
4116	srg-41
4117	C40A11.8
1771	pigw-1
2134	T09F3.5
2135	chl-1
2570	Y39B6A.41
2571	K07H8.9
3030	F44E7.3
3031	his-69
3546	F41C3.1
3547	spin-4
1436	C30F12.5
1772	F26D2.3
1773	col-176
2140	R10E4.11
2575	gcy-35
2143	srx-84
733	rpl-41.2
1084	his-57
2580	ZC404.16
3047	F57A10.2
3048	stdh-2
4722	srh-63
5310	K11E4.6
5311	reps-1
5314	srx-88
5315	clec-261
3563	srg-60
4730	T23G11.10
4731	sre-45
2587	C33G3.6
3056	Y60A9A.1
1779	his-14
3572	luc-7L3
3573	H27M09.5
5327	Y20F4.8
4155	F49C5.9
4747	W02D7.11
4157	Y56A3A.41
4750	col-52
5334	Y55F3BR.10
5335	lido-14
5338	B0546.3
5339	B0546.5
4160	T08D2.6
4754	elk-2
4755	Y47H9C.12
5342	T07F8.1
5343	fbxa-113
4756	aakb-2
4162	math-14
4163	Y59A8A.8
4164	clec-141
5957	W02H5.19
3065	flp-28
5356	C18G1.7
1781	denn-4
2154	gly-9
2599	C34E10.12
3076	Y36E3A.2
3077	F47B10.4
3601	cox-16
4182	cpb-1
5358	B0250.7
5359	acp-4
5361	fog-3
4183	srxa-5
3603	T16G12.10
3079	col-84
4779	C39B5.14
4191	Y116A8A.150
7111	C54G10.1
2157	W09B7.2
3082	sri-40
4197	C07G3.8
4793	C07G1.7
5379	T01G6.10
4199	Y43F4A.3
4796	srd-17
5987	Y92H12BL.4
4798	ZC190.10
5388	H14A12.5
4801	nhr-110
6002	H25P06.5
4804	Y16E11A.4
6007	cya-2
7123	irld-66
6609	str-102
5404	srh-284
5405	C55C3.7
6017	wrt-7
5407	srh-265
6019	srt-44
3616	H21P03.10
3617	srbc-79
4209	srt-34
4812	C31E10.11
5417	K08D9.2
4817	Y53C12A.11
4820	fog-1
5425	F49E8.8
6036	Y38H6C.4
3622	Y38F2AL.12
5430	srx-13
5431	T01H10.11
6641	F22B3.5
6047	F42E8.1
6049	B0244.17
6646	F14D2.7
6647	seb-2
3090	nola-3
3624	C56G2.3
4828	F14D2.5
4829	H12I19.115
5441	C05A2.4
4831	K09H11.11
5445	usp-3
5447	K07D4.2
4834	Y52B11A.11
5451	gpa-16
4227	F20A1.2
5457	Y19D10A.11
6666	F33H12.1
6667	F29C12.6
6072	Y11D7A.8
6074	mltn-11
7176	F36D4.6
7177	srd-68
6077	F11A5.18
127	rer-1
238	msp-59
434	dhs-12
734	C47E8.11
1086	Y69A2AR.50
1784	Y32B12B.8
1785	T15B12.2
1087	F31F6.1
1445	str-115
1786	C17C3.6
1787	F56D6.20
735	nspa-3
1447	F17E9.15
1792	M02G9.4
1793	chil-1
435	F17E9.5
736	Y1A5A.1
1090	fbxa-218
1794	spe-51
2172	srj-24
2173	T02H6.4
2616	str-165
2617	F41D3.6
1451	F13E9.16
1796	T24H10.5
2178	F58G1.8
3101	Y53G8AM.6
2621	K09C6.10
3104	sra-23
3635	Y39F10C.1
4234	Y44A6B.3
4235	hsd-1
2623	fbxa-25
1091	ant-1.4
1452	Y105C5B.11
1798	Y39F10A.6
1799	bre-4
2182	C55B6.5
2624	Y119C1B.11
2625	K08H2.5
2626	nep-3
2627	F41F3.9
3115	C14C6.13
3645	F46F5.16
1453	F36A4.1
1800	T22A3.6
2185	Y22D7AR.14
2186	erp-44.3
3646	str-114
3647	C17C3.5
3648	Y22D7AR.7
4245	ZK1290.15
3650	str-188
4859	F28A10.13
4249	C17G10.10
3121	R193.1
3653	clpr-1
2632	bcc-1
3124	Y37A1B.4
3656	K02F6.4
3657	srb-13
737	acbp-4
3126	srj-37
3663	faah-5
2190	bath-37
2191	clec-182
3668	C26H9A.3
3137	Y71A12B.24
1093	K07E12.2
3142	srx-62
3149	F39F10.5
3691	math-6
