	gene
2796	F39F10.3
2797	Y39F10C.1
3132	Y44A6B.3
3133	hsd-1
1777	T24H10.5
1095	F36A4.1
3139	B0334.10
3829	F56D6.6
3487	F17E9.18
3143	F13A2.3
2445	R09E10.2
2118	K02A6.1
2808	Y37A1B.4
3148	K02F6.4
3837	sre-41
3498	str-114
3499	C17C3.5
3500	Y22D7AR.7
3845	ZK1290.15
3846	F39B3.3
3847	str-188
3849	F28A10.13
3153	R193.1
3505	bcc-1
2120	T22A3.6
2451	Y22D7AR.14
2815	fbxa-25
439	ZK84.5
754	nspa-3
1782	str-115
2124	F56D6.20
2125	chil-1
1097	F31F6.1
1784	F17E9.15
1785	Y47D7A.17
2128	M02G9.4
2818	Y71A12B.24
2464	C26H9A.3
2134	W08F4.7
2135	clec-182
3169	faah-5
2477	sru-24
3521	srx-62
3184	math-6
3185	F39F10.5
241	ant-1.1
440	pat-10
756	tag-18
1101	cpg-9
1797	W08A12.2
2146	ZC518.8
2486	sbsp-1
2850	tni-3
2851	scpl-1
2147	C25E10.10
1469	lbp-2
2149	nlp-23
757	ost-1
1102	ttr-16
1470	ttr-17
1800	ZC84.7
2150	T03E6.8
2495	srlf-23
2497	del-1
2153	inx-18
2498	F13G3.12
2499	dsc-1
1802	T21B6.3
2156	ZC487.2
2505	C05B5.16
2869	ZC373.3
2157	C12D8.21
2870	srv-31
2871	Y37F4.4
2872	T22F3.12
2873	lipl-8
1103	spp-10
1472	act-3
2158	F09E10.7
2159	F38B2.2
2511	pyt-1
1805	unc-27
2160	C32D5.8
2161	ctsa-1.1
3544	Y32F6B.9
3873	fbxa-188
4259	T28A11.20
4260	mab-23
3548	srp-3
4737	C07E3.8
5940	K08E5.1
5941	oac-3
4264	F07B7.13
5318	C36C5.14
5319	chil-4
6583	clec-122
3880	C17B7.3
4270	T25F10.1
4271	T28A11.3
4272	C01B7.7
3552	txt-3
5334	srlf-13
5335	F41G4.7
4757	H28G03.3
5337	sra-39
1473	W05B5.1
1806	picc-1
2162	cutl-8
2517	nlp-58
2163	tnt-3
3220	C53D5.1
3221	F21D9.3
2519	sfrp-1
2888	gsnl-1
3563	Y75B8A.10
3892	T02H6.6
3893	cut-1
2889	ZC374.2
3224	egl-13
3564	C44H4.6
4284	T12A7.10
4285	Y102A11A.1
5343	sodh-2
4765	T10B11.4
4286	F33E2.10
4287	deg-3
3565	ceh-33
3566	F49C5.7
3567	F36H5.18
1807	perm-2
2164	perm-4
2521	C44B7.5
2891	frm-1
3226	F39G3.2
3227	ddo-3
2165	lbp-3
2523	C53B7.2
2892	C50C3.2
3229	sdf-9
3572	Y69H2.15
3573	C17B7.8
2893	C53B7.3
3231	egl-15
441	tbb-1
758	col-167
1104	col-124
1474	col-118
1808	col-141
1809	pdzd-8
2169	fipr-27
1475	col-93
1810	col-126
2170	col-146
2171	col-161
2529	col-91
2896	dct-5
2897	K07E1.1
3235	C06E8.5
3576	fipr-26
3577	col-137
1811	col-20
2172	col-122
2530	W01F3.2
2531	cyp-34A10
2173	C39B5.5
2532	col-98
2903	fipr-21
3238	drd-10
3239	grsp-3
2904	C45B2.1
3240	haao-1
3241	C49F5.7
2905	cnc-8
3243	pqn-72
3588	nlp-27
3589	T09E8.4
1105	col-3
1476	ram-2
1812	dpy-4
2174	cpg-7
3244	F54D10.8
3927	Y43F8B.18
3928	C17A2.7
3246	Y47G6A.30
3931	nhr-271
3595	Y48G10A.6
3934	T08G5.2
3935	ZK899.5
4309	ZK112.4
4311	T04C12.8
2908	F36D1.8
3938	Y39B6A.27
3943	C47F8.5
3947	madf-4
3949	F36H9.1
3604	T28C12.2
4794	cutl-1
5361	Y61B8A.6
2175	F18E3.13
2536	col-157
2911	grd-6
2912	ugt-9
3254	C01G10.6
3255	ugt-66
2913	C27A7.8
1813	grd-10
2176	grd-13
2538	C16C2.4
3258	R160.13
3614	srj-38
3615	Y110A2AL.5
2915	ocrl-1
3260	T07C12.10
3616	str-233
3618	str-9
3964	F08G2.8
4341	F32H2.8
4803	T24D1.7
4343	F59B10.6
2539	skpo-3
3263	sqrd-1
3624	srg-34
3971	clec-162
4814	mig-21
4815	Y43F8B.28
3265	F26G1.2
3627	mab-3
2540	fip-5
2918	his-54
2919	C37A5.3
2541	col-130
1814	col-147
2542	far-7
2924	C36A4.11
2925	col-149
2179	C39D10.8
2544	ora-1
2926	F26G1.5
2927	col-145
2545	dos-1
2929	F45D3.4
3280	Y38E10A.14
3634	ttr-33
3976	catp-3
3977	srd-13
3635	fat-6
3978	hrg-2
3979	Y12A6A.1
4365	ins-33
3281	txt-11
3636	C15A11.7
3637	F45D11.15
1815	C02E7.7
2180	ZK1025.8
2181	Y48G8AL.12
2548	R02E4.3
2932	col-152
2933	gst-19
2549	col-175
2934	F27E5.7
3286	col-88
3287	grl-27
2935	C04G6.2
3288	cnc-11
3289	K02E11.10
759	twk-49
1106	rpl-12
1478	rbm-3.2
1816	phf-15
2936	sod-3
3292	gcy-35
2939	srx-84
2183	mdt-22
2552	ubxn-3
2940	iars-2
2941	K07H8.9
3298	Y57G11C.36
3988	F19B6.3
3989	B0205.5
4370	F41C3.1
4822	srxa-2
4823	C25H3.3
3991	Y39B6A.41
2553	znf-622
3993	srg-41
3301	B0432.8
3662	tpk-1
3998	str-187
3999	C26E6.1
3302	F13C5.1
4382	ZK721.4
4383	pik-1
4385	srv-28
4834	Y116A8C.43
3665	srt-45
4003	Y56A3A.16
4838	Y7A5A.8
4839	C40A11.8
4840	T06E4.21
4841	clec-125
4842	Y116F11B.9
4843	W02G9.3
4392	C26D10.3
4393	H37A05.2
4846	M04B2.7
